Unnamed: 0,author,date,text,label,video,LF1,LF2,LF3,LF4,LF5,LF6,LF7,LF8,LF9,LF10,major_label
15,JD COKE,2014-11-08T02:24:02,"It's so hard, sad :( iThat little child Actor HWANG MINOO dancing very  active child is suffering from brain tumor, only 6 month left for him .Hard  to believe .. Keep praying everyone for our future superstar.  #StrongLittlePsY #Fighting  SHARE EVERYONE PRAYING FOR HIM http://ygunited.com/2014/11/08/little-psy-from-the-has-brain-tumor-6-months-left-to-live/ ï»¿",1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,0,0
16,zhichao wang,2013-11-29T02:13:56,i think about 100 millions of the views come from people who only wanted to  check the viewsï»¿,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0
17,Rancy Gaming,2014-11-06T09:41:07,What free gift cards? Go here  http://www.swagbucks.com/p/register?rb=13017194ï»¿,1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,0,0
18,Bishwaroop Bhattacharjee,2014-11-08T12:34:11,https://www.facebook.com/SchoolGeniusNITS/photos/ms.c.eJw9kVkOxDAMQm808h5z~;4sNjqP~_tHqBEuM69AQUp1Ih~_fPHgk5zLLsVdQv0ZUf0MB~;LnUJ~;ufTH4YoKfRxYts2zvrrp6qGtw67y~;L551h~;f7~_vlcZzRG8vGCTlPSD9ONGeWhj8~_GIbu~;S3lzMvY~;IQ2~;TwSfzz9WHn7JUSvHufpglQRZczl05fNPhaGeVb3x8yDmC6X~_~;jTcjnMho~;vfXWCjZyvWObihrnGx2ocjnG2PG1EvHXzyjD~_o3h~_RY6f57sPrnD2xV~;~_BzszZ~;8~-.bps.a.390875584405933/391725794320912/?type=1&amp;theater ï»¿,1,1,-1,-1,1,-1,-1,-1,0,-1,-1,-1,0
19,Tedi Foto,2014-11-08T09:33:30,What my gangnam styleï»¿,0,1,1,-1,-1,-1,-1,-1,0,-1,-1,-1,1
20,Tee Tee,2014-11-07T20:16:51,Loool nice song funny how no one understands (me) and we love itï»¿,0,1,-1,-1,-1,-1,0,-1,-1,-1,-1,0,0
21,BeBe Burkey,2013-11-28T16:30:13,and u should.d check my channel and tell me what I should do next!ï»¿,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
22,diego acosta,2014-11-08T10:05:27,"If I get 100 subscribers, I will summon Freddy Mercury's ghost to whipe  from the face of earth One Direction and Miley Cirus.ï»¿",1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1
23,Arianna Leighton,2014-11-03T23:02:47,"Does anyone here use gift cards like Amazon, itunes, psn, google play,  itunes, or any other gift cards? Then you'll be happy to know you can get  free gift card codes for free from an amazing site. Here is a $50 itunes  gift card code XXBB5TCZHM39HVZDï»¿",1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0
24,O sÃ¡bio das 7 eras,2014-11-07T17:06:48,Please friend read my book and repass: http://www.4shared.com/web/preview/pdf/CjFofTxeba?ï»¿,1,1,1,-1,1,1,-1,-1,-1,-1,-1,-1,1
25,witsnow roxiie,2014-11-07T20:45:32,We pray for you Little Psy â™¡ï»¿,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0
26,xxxTheMikeTxxx,2014-11-07T19:33:03,Will this song ever reach 7 Billion Views?ï»¿,0,1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0
27,PacKmaN,2014-11-06T18:23:21,hey again if you guys wouldnt mind chacking out my rap give it like and il  giver 3 of your vids a likeï»¿,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
28,Ruddy Tapia,2014-01-20T17:58:46,get GWAR to play 2015 superbowl  http://www.change.org/petitions/the-national-football-league-allow-gwar-to-perform-the-2015-super-bowl-halftime-show#share ï»¿,1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1
29,ì „ê´‘ìš©,2014-11-07T15:14:48,Fantastic!ï»¿,0,1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0
30,BeatBoxBaaa,2014-11-07T09:04:08,Have you tried a new social network TSU? This new social network has a  special thing.You can share the posts as well as on fb and twitter and even  to'll get paid You can registr here:  https://www.tsu.co/WORLDWIDE_LIFEï»¿,1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1
31,Angel,2014-11-02T17:27:09,"Hi there~I'm group leader of Angel, a rookie Korean pop group. We have four  members, Chanicka, Julie, Stephanie, and myself, Leah. Please feel free to  check out our channel and leave some feedback on our cover videos (:  criticism is welcome as we know we're not top notch singers so please come  leave some constructive feedback on our videos; we appreciate any chance to  improve before auditioning for a Korean management company. We plan on  auditioning for JYP, BigHit, Jellyfish, YG or SM. Thank you for taking time  out of your day to read this !ï»¿",1,1,1,-1,-1,1,-1,1,-1,-1,-1,0,1
32,Alucard Hellsing,2014-11-07T22:21:29,What Can i say....This Song He Just Change The World Completely... So good job PSY... (and your girls are awesome :))) )ï»¿,0,1,-1,-1,-1,-1,0,-1,-1,-1,-1,0,0
33,World327RS,2014-01-20T06:16:28,SUBSCRIBE TO ME AND I'LL SUBSCRIBE TO YOU! (Must like - cZFcxsn0jnQ) ï»¿,1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1
34,JoelR Ch,2014-11-06T19:28:25,http://flipagram.com/f/LUkA1QMrhFï»¿,1,1,-1,-1,1,-1,-1,-1,0,-1,-1,-1,1
35,BaconBro HD,2014-01-20T21:11:52,Subscribe ME!ï»¿,1,1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,1
36,This Is Really Not Lois Arceo,2014-11-10T13:25:27,"NEW GOAL!   3,000,000!  Let's go for it!ï»¿",0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
37,Harrys Edits,2014-11-08T10:05:40,if i reach 100 subscribers i will go round in public pouring a bucket of  ice water over people and then running away acting like it wasn't me! like  so people can see!!ï»¿,1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1
38,BIGMOFO Tonkatruck,2014-11-12T06:26:42,just came to check the view countï»¿,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
39,Tyrek Sings,2014-11-05T22:50:02,CHECK MY CHANNEL OUT PLEASE. I DO SINGING COVERSï»¿,1,1,1,-1,-1,1,-1,1,-1,-1,-1,-1,1
40,DropItLikeItsSloth,2014-11-11T19:38:11,just came here to check the views :Pï»¿,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
41,Joengz,2014-01-19T10:31:10,"Check out my dubstep song ""Fireball"", made with Fruity Loops. I really took  time in it.  /watch?v=telOA6RIO8oï»¿",1,1,1,-1,-1,-1,0,1,-1,-1,-1,-1,1
42,Detroit Red Wings,2014-11-06T20:55:09,http://www.gofundme.com/gvr7xgï»¿,1,1,-1,-1,1,-1,-1,-1,0,-1,-1,-1,0
43,nathan robson,2014-11-08T11:20:48,If i reach 100 subscribers i will tazz my self and my friendï»¿,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,1
44,BlueYetiPlayz -Call Of Duty and More,2015-05-23T13:04:32,subscribe to me for call of duty vids and give aways Goal-100 subsï»¿,1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1
45,Anthony1SV,2014-11-14T00:01:37,Please do buy these new Christmas shirts! You can buy at any time before  December 4th and they are sold worldwide! Don't miss out:  http://teespring.com/treechristmasï»¿,1,1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,1
46,MiningBip3,2014-11-06T02:22:00,Check out pivot animations in my channelï»¿,1,1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,1
47,8-BitMusic,2013-12-27T23:07:50,Hey guys! Im a 12 yr old music producer. I make chiptunes and 8bit music.  It would be wonderful if you checked out some of my 8bit remixes! I even  have a gangnamstyle 8bit remix if you would like to check that out ;)  Thanks!!,1,1,1,-1,-1,-1,-1,1,-1,-1,-1,0,1
48,Kiddy Kidso,2014-01-19T16:49:52,Check my channel please! And listen to the best music ever :Pï»¿,1,1,1,-1,-1,1,-1,-1,-1,-1,0,-1,1
49,ferleck ferles,2013-11-27T21:39:24,Subscribe to my channel ï»¿,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,1
50,bruno jovao,2014-11-08T04:51:38,LoLï»¿,0,1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0
51,JackTheLad,2014-11-06T19:00:11,Subscribe to me and I'll subscribe back!!!ï»¿,1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1
52,Brandon Wilson,2014-11-14T12:21:52,Why does a song like this have more views than Michael Jackson SMHï»¿,0,1,-1,-1,-1,-1,0,-1,-1,0,-1,0,0
53,Spencer Clark,2014-11-08T05:29:26,If you pause at 1:39 at the last millisecond you can see that that chick is  about to laugh. Takes a few tries.ï»¿,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
54,cake cat,2014-01-20T04:45:34,if you like roblox minecraft world of warcraft gta5 mario suscribe to my  channelï»¿,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
55,Ben Stalker,2014-11-07T19:27:45,GANGMAN STY- *D-D-D-D-D-D--DROP THE BASS!!*ï»¿,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
56,Muhd Hafiz,2014-11-12T09:30:31,WORLD RECORD YOUTUBE VIDEO VIEWS !!!!!! XDï»¿,0,1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,0
57,Puppy Lover5614,2014-11-11T22:48:11,I hav absolutely no idea what he's saying. Is it even a language?ï»¿,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0
58,amine moha,2014-11-06T18:11:37,please like : http://www.bubblews.com/news/9277547-peace-and-brotherhoodï»¿,1,1,-1,-1,1,1,-1,-1,0,-1,-1,-1,1
59,Ripazha Gaming,2014-11-12T17:37:08,http://hackfbaccountlive.com/?ref=5242575ï»¿,1,1,-1,-1,1,-1,-1,-1,0,-1,-1,-1,1
60,Tofik MiedzyÅ„,2014-11-13T21:48:26,https://www.facebook.com/tofikmiedzynB/photos/a.1496273723978022.1073741828.1496241863981208/1498561870415874/?type=1&amp;theater ï»¿,1,1,-1,-1,1,-1,-1,-1,0,-1,-1,-1,0
61,Callum Barr,2014-11-07T13:49:41,Subscribe to me plz plz plz plz plz plZ ï»¿,1,1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,1
62,UroÅ¡ Slemenjak,2014-11-07T12:08:13,"People, here is a new network like FB...you register also free, the  difference is only that you get paid for sharing, commenting and liking  posts and so one...don't waste your time on fb for sharing and not being  paid!! Register here to make also money with your everyday posts!!  https://www.tsu.co/slema13 Wellcome to everyone! ;)ï»¿",1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,0,1
63,Cromwell John Pascual,2014-11-07T12:51:06,WAT DA FUCK THIS THE MOST VIEWED VIDEO IN YOUTUBE!ï»¿,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0
64,abdellah chafouai,2014-11-05T16:12:51,Discover a beautiful song of A young Moroccan     http://www.linkbucks.com/AcN2gï»¿,1,1,-1,-1,1,-1,0,-1,-1,-1,-1,0,0
65,jayson calzado,2014-11-07T17:03:01,How can this music video get 2 billion views while im the only one watching  here on earth?????? lolï»¿,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0
66,Pro Video,2014-11-07T17:53:51,subscribe to me :) ï»¿,1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,0,0
67,Oh 1080s,2014-11-02T01:08:10,Sub my channel!ï»¿,1,1,1,-1,-1,-1,-1,-1,0,-1,-1,-1,0
68,Archie Lewis,2013-11-28T17:54:39,https://twitter.com/GBphotographyGBï»¿,1,1,-1,-1,1,-1,-1,-1,0,-1,-1,-1,0
69,richardex8,2014-11-03T23:03:03,Why does this video have so many views? Because asian things are awesome and non-asian countries are jelly so they  try to learn from asia by looking at this video d:ï»¿,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0
70,Artsi,2014-01-20T18:52:12,Pls follow this channel!! http://www.twitch.tv/sevadusï»¿,1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1
71,Young Hittaz,2014-01-19T04:21:11,everyone please come check our newest song in memories of Martin Luther  King Jr.ï»¿,1,1,-1,-1,-1,1,0,-1,-1,0,-1,-1,0
72,Kincaid Liebenberg,2014-11-08T05:36:38,PSY is a good guyï»¿,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0
73,MrValentinique,2014-11-13T22:33:31,https://www.facebook.com/eeccon/posts/733949243353321?comment_id=734237113324534&amp;offset=0&amp;total_comments=74   please like frigea marius gabriel comment :Dï»¿,1,1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,1
74,Aaa Aaa,2014-11-12T05:46:27,PLEASE SUBSCRIBE ME!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!ï»¿,1,1,-1,1,-1,1,-1,-1,0,-1,-1,-1,1
75,Gloria Garcia,2014-11-04T11:38:51,subscribe to itz recaps and above diddleï»¿,1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1
76,Bizzle Sperq,2014-11-08T15:29:46,https://www.facebook.com/nicushorbboy add mee &lt;3 &lt;3ï»¿,1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1
77,Adrian Skalak,2014-11-07T08:19:37,http://www.ermail.pl/dolacz/V3VeYGIN CLICK  http://www.ermail.pl/dolacz/V3VeYGIN  http://www.ermail.pl/dolacz/V3VeYGIN  http://www.ermail.pl/dolacz/V3VeYGIN  http://www.ermail.pl/dolacz/V3VeYGIN  http://www.ermail.pl/dolacz/V3VeYGIN  http://www.ermail.pl/dolacz/V3VeYGINï»¿,1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1
78,TheRogueScorpion,2014-11-08T02:45:12,MANY MEMORIES...........ï»¿,0,1,-1,-1,-1,-1,-1,-1,0,-1,-1,0,0
79,ÐœÐ¸Ñ Ð°Ð¸Ð» ÐŸÐ°Ð½ÐºÑ€Ð°Ñ‚Ð¾Ð²,2014-11-03T22:22:14,There is one video on my channel about my brother...ï»¿,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
80,Jason Haddad,2013-11-26T02:55:11,"Hey, check out my new website!! This site is about kids stuff. kidsmediausa  . com",1,1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,1
81,YoungBrothersRecords,2014-11-06T23:22:32,Please give us a chance and check out the new music video on our channel!  You won't be disappointed.ï»¿,1,1,-1,-1,-1,1,-1,1,-1,-1,-1,-1,1
82,Freddie Barton,2014-11-06T15:31:35,CHECK MY CHANNEL FOR MY NEW SONG 'STATIC'!! YOU'LL LOVE IT!!ï»¿,1,1,1,-1,-1,-1,0,-1,-1,-1,-1,0,0
83,Jose Renteria,2013-11-29T00:22:01,"We are an EDM apparel company dedicated to bringing you music inspired  designs. Our clothing is perfect for any rave or music festival. We have  NEON crop tops, tank tops, t-shirts, v-necks and accessories! follow us on  Facebook or on instagraml for free giveaways news and more!! visit our site  at OnCueApparelï»¿",1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0
84,Fun&amp;Hacks,2014-01-19T00:42:35,"Subscribe to me for free Android games, apps.. ï»¿",1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,0,0
85,TheHariiiii,2014-11-02T16:17:11,-----&gt;&gt;&gt;&gt;  https://www.facebook.com/video.php?v=10200253113705769&amp;set=vb.201470069872822&amp;type=3&amp;permPage=1  &lt;--------ï»¿,1,1,-1,-1,1,-1,-1,-1,0,-1,-1,-1,0
86,Lars Zaadstra,2014-11-04T13:54:25,Sub to my channel visuelgamingzNL I sub backï»¿,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
87,Luna Gamer Potter,2014-11-09T02:42:40, I hate this song! ï»¿,0,1,-1,-1,-1,-1,0,-1,-1,-1,-1,0,0
88,Navin Surya,2014-11-08T11:42:57,Please help me go to college guys! Thanks from the bottom of my heart.  https://www.indiegogo.com/projects/i-want-to-go-to-college--19/x/9082175ï»¿,1,1,1,-1,1,1,-1,-1,-1,-1,-1,-1,1
89,fab life,2014-11-02T00:48:57,plz check out fablife / welcome to fablife for diys and challenges so plz  subscribe thx!ï»¿,1,1,-1,1,-1,1,-1,1,-1,-1,-1,0,1
90,TLouX music,2014-11-05T22:41:42,Add me here...https://www.facebook.com/TLouXmusicï»¿,1,1,-1,-1,1,-1,-1,-1,0,-1,-1,-1,1
91,Goran Theboss,2014-11-06T23:16:52,https://www.surveymonkey.com/s/CVHMKLTï»¿,1,1,-1,-1,1,-1,-1,-1,0,-1,-1,-1,1
92,Julius NM,2013-11-07T06:20:48,"Huh, anyway check out this you[tube] channel: kobyoshi02",1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1
93,Stefano Albanese,2014-11-02T12:04:36,http://www.guardalo.org/best-of-funny-cats-gatti-pazzi-e-divertenti-2013-5287/100000415527985/ ï»¿,1,1,-1,-1,1,-1,-1,-1,0,-1,-1,-1,1
94,Tornike Noniashvili,2014-11-08T04:08:09,subscribe my chanelï»¿,1,1,1,1,-1,-1,-1,-1,0,-1,-1,-1,1
95,Wumrogue lite,2014-01-20T17:29:52,https://www.facebook.com/pages/Brew-Crew-2014/134470083389909 Like this  facebook-page! Chance to win an Iphone 5S!ï»¿,1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1
96,OutrightIgnite,2013-12-01T03:30:55,Show your AUBURN PRIDE HERE: http://www.teespring.com/tigermeathoodieï»¿,1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1
97,Ameenk Chanel,2014-11-14T11:50:02,Free my apps get 1m crdits ! Just click on the link and download a app and  done!! Â· Link: https://m.freemyapps.com/share/url/5af506e1ï»¿,1,1,1,-1,1,-1,-1,-1,-1,-1,-1,0,1
98,Tabby Ghani,2014-11-08T01:28:58,I remember when everyone was obsessed with Gangnam Style ðŸ˜—ï»¿,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0
99,eSkiip,2014-01-20T17:22:53,This video will get to 2 billion just because of people checking if it has  hit 2 billion yet.ï»¿,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
100,Melissa Harmon,2014-11-07T22:01:04,how is this shit still relevant ï»¿,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0
101,ii Trollercopter,2014-01-19T17:25:23,"Hey everyone!! I have just started my first YT channel i would be grateful  if some of you peoples could check out my first clip in BF4! and give me  some advice on how my video was and how i could improve it. ALSO be sure to  go check out the about to see what Im all about. Thanks for your time :) .  and to haters... You Hate, I WINï»¿",1,1,1,-1,-1,-1,-1,1,-1,-1,-1,0,1
102,TheLegitBroz,2014-11-08T00:26:35,The Funny Thing Is That this song was made in 2009 but it took 2 years to  get to america.ï»¿,0,1,-1,-1,-1,-1,0,-1,-1,-1,-1,0,0
103,Jason Provencal,2014-01-19T16:15:54,Why dafuq is a Korean song so big in the USA. Does that mean we support  Koreans? Last time I checked they wanted to bomb us. ï»¿,0,1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0
104,anthony Jennings,2014-11-07T23:26:04,"People Who Say That ""This Song Is Too Old Now, There's No Point Of  Listening To It"" Suck. Just Stfu And Enjoy The Music. So, Your Mom Is Old  Too But You Still Listen To Her Right?....ï»¿",0,1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0
105,Ju`Wan Wright,2014-11-06T02:39:07,Follow me on twitter &amp; IG : __killuminati94ï»¿,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
106,Agarra Mela,2014-11-08T09:32:14,"how does this video have 2,127,322,484 views if there are only 7 million  people on earth?ï»¿",0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0
107,Prim N.,2014-11-02T22:48:21,"Just coming to check if people are still viewing this video. And  apparently, they still do.ï»¿",0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
108,Arthur Teixeira,2014-11-12T20:12:47,"I wanted to know the name of the guy that dances at 00:58, anybody knows ?ï»¿",0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
109,Photo Editor,2015-06-05T14:14:48,hi guys please my android photo editor download. thanks https://play.google.com/store/apps/details?id=com.butalabs.photo.editorï»¿,1,1,1,-1,1,1,-1,-1,-1,-1,-1,-1,1
110,Daniel Istrati,2014-11-07T19:47:16,Can anyone sub to my channel? :Dï»¿,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
111,Jennifer Isaksen,2014-11-12T15:12:47,"Hahah, juyk! I allways laugh at the part 1:57.. LOL!ï»¿",0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
112,ArioseRose,2014-11-13T15:20:31,"Don't mind me, I'm just checking what the views are up to : )ï»¿",0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0
113,Carlos Thegamer,2013-12-01T01:20:21,subscribe to my channel people :Dï»¿,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,1
114,GsMega,2013-11-10T16:05:38,watch?v=vtaRGgvGtWQ   Check this out .ï»¿,1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1
115,2014-11-03T21:38:17,https://www.indiegogo.com/projects/cleaning-the-pan--2    please halp me  with my projectï»¿,,1,1,1,-1,1,1,-1,-1,-1,-1,-1,-1,1
116,Sigaraya Nesora,2014-11-13T06:33:21,"The girl in the train who was dancing, her outfit was so fucking sexy, but  the huge turn-off was she lacked eyebrows D:ï»¿",0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0
117,Connor Groom,2014-11-04T18:00:07,sub me if you dont like the songï»¿,1,1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0
118,Nikolay Tekuchev,2014-11-08T03:09:11,"This video is so cool, again and again!ï»¿",0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0
119,Emily Hamilton,2014-11-05T08:42:06,This has had over 2 billion views.  Holy shit.ï»¿,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
120,Abdinasir Omar,2014-11-05T15:28:28,Great music anywayï»¿,0,1,-1,-1,-1,-1,-1,-1,0,-1,-1,0,0
121,JakeFrostMiner Palanca,2014-11-07T20:12:11,DISLIKE.. Now one knows REAL music - ex. Enimen ï»¿,0,1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,0
122,"thevlogmasters Vlog, Challenges en nog veel meer!",2014-11-06T15:28:54,â–¬â–¬â–¬â–¬â–¬â–¬â–¬â–¬â–¬â–¬à®œÛ©ÛžÛ©à®œâ–¬â–¬â–¬â–¬â–¬â–¬â–¬â–¬ ï¼¤ï¼¡ï¼­ï¼® ï¼´ï¼¨ï¼©ï¼³ ï¼£ï¼¯ï¼­ï¼­ï¼¥ï¼®ï¼´ ï¼©ï¼³ ï¼¦ï¼¡ï¼®ï¼£Y â–¬â–¬â–¬â–¬â–¬â–¬â–¬â–¬â–¬â–¬à®œÛ©ÛžÛ©à®œâ–¬â–¬â–¬â–¬â–¬â–¬â–¬â–¬ï»¿,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
123,Gaming and Stuff PRO,2013-11-28T21:14:13,"Hello! Do you like gaming, art videos, scientific experiments, tutorials,  lyrics videos, and much, much more of that? If you do please check out our  channel and subscribe to it, we've just started, but soon we hope we will  be able to cover all of our expectations... You can also check out what  we've got so far!ï»¿",1,1,-1,1,-1,1,-1,1,-1,-1,-1,0,1
124,||GuitarZ||,2013-12-23T12:54:38,CHECK OUT MY CHANNEL,1,1,1,-1,-1,-1,-1,1,0,-1,-1,-1,1
125,Itss Synco,2014-11-11T22:37:23,"COME AND CHECK OUT MY NEW YOUTUBE CHHANEL, GOING TO BE POSTING DAILY!ï»¿",1,1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,1
126,David BoÄek,2014-11-06T22:40:49,https://www.change.org/p/facebook-twitter-youtube-do-not-censor-julien-blanc ï»¿,1,1,-1,-1,1,-1,-1,-1,0,-1,-1,-1,1
127,Squir3,2014-11-02T18:34:03,http://woobox.com/33gxrf/brt0u5 FREE CS GO!!!!ï»¿,1,1,-1,-1,1,-1,-1,-1,0,-1,-1,0,0
128,Gaming Land,2014-11-05T07:48:10,5 milions comentars and 2 bilion viewsï»¿,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
129,funtimekid1199,2014-11-07T14:11:41,http://www.twitch.tv/tareko100 Follow him on twitch and enter the keyword  !5800 and you'll have a chance of winning a really nice and expensive gun  for csgo that you can sell on the steam marketï»¿,1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,0,0
130,ZodexHD,2014-11-06T17:50:59,look at my channel i make minecraft pe lets play ï»¿,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
